Date,Close,Volume,Open,High,Low
9/3/2013,41.87,48666190,41.84,42.17,41.51
9/4/2013,41.78,42472010,42.01,42.17,41.44
9/5/2013,42.66,49931010,41.79,42.77,41.77
9/6/2013,43.95,117375700,43.09,44.61,42.4
9/9/2013,44.04,75634970,44.36,44.79,43.7
9/10/2013,43.6,54453960,44.24,44.26,43.23
9/11/2013,45.04,71840960,43.39,45.09,43.11
9/12/2013,44.75,67943630,45.53,45.62,44.65
9/13/2013,44.31,52706530,45.04,45.08,43.93
9/16/2013,42.51,70580670,44.85,44.94,42.43
9/17/2013,45.07,91748330,42.5,45.44,42.43
9/18/2013,45.23,79172720,44.84,45.47,44.4
9/19/2013,45.98,63854770,45.51,46.05,45.23
9/20/2013,47.49,115259600,46.32,47.6,45.74
9/23/2013,47.19,75170550,47.28,47.55,46.29
9/24/2013,48.45,136274400,48.51,49.66,48.16
9/25/2013,49.46,87566700,49.23,49.54,48.46
9/26/2013,50.39,97976810,50.01,50.6,49.5
9/27/2013,51.24,81192310,50.29,51.28,49.86
9/30/2013,50.23,99504810,50.14,51.6,49.8
10/1/2013,50.42,97946230,49.97,51.03,49.45
10/2/2013,50.28,62686500,50.13,51.1,49.95
10/3/2013,49.18,81651010,50.47,50.72,49.06
10/4/2013,51.04,74312720,49.77,51.16,49.57
10/7/2013,50.52,57061640,50.73,51.29,50.4
10/8/2013,47.14,135628200,50.6,50.6,47.08
10/9/2013,46.77,147056800,47.38,47.84,45.26
10/10/2013,49.05,99370750,47.87,49.68,47.83
10/11/2013,49.11,58342770,49.18,49.87,48.79
10/14/2013,49.51,68639410,48.31,49.63,47.91
10/15/2013,49.5,80838680,49.99,51,49.18
10/16/2013,51.14,64406590,50.04,51.24,49.9
10/17/2013,52.21,70836230,51.12,52.22,50.95
10/18/2013,54.22,88118540,54.18,54.83,53.6
10/21/2013,53.85,57935890,54.68,54.81,53.51
10/22/2013,52.68,83047340,54.33,54.76,52.2
10/23/2013,51.9,57037800,51.75,52.25,51.13
10/24/2013,52.45,46436620,52.38,52.84,51.59
10/25/2013,51.95,44931490,53.18,53.24,51.88
10/28/2013,50.23,73116480,51.54,51.7,49.61
10/29/2013,49.4,101787400,50.73,50.79,49.25
10/30/2013,49.01,111666400,50,50.21,48.75
10/31/2013,50.21,248338900,47.16,52,46.5
