Date,Close/Last,Volume,Open,High,Low
8/16/2013,432.86,1675087.00,435.07,435.66,432.68
8/19/2013,437.28,1810825.00,433.27,440.49,433.14
8/20/2013,437.16,1236259.00,438.64,440.54,436.21
8/21/2013,439.14,1757333.00,439.80,442.97,437.71
8/22/2013,441.35,869911.00,440.84,441.88,439.60
8/23/2013,439.58,1076493.00,443.43,443.52,439.35
8/26/2013,437.65,1056184.00,439.48,441.95,437.48
8/27/2013,429.45,1731654.00,434.23,436.31,428.31
8/28/2013,428.64,1329908.00,429.50,432.11,428.25
8/29/2013,432.12,1370908.00,428.90,434.62,428.66
8/30/2013,427.81,1862207.00,432.28,433.43,427.13
9/3/2013,434.62,2047636.00,431.58,437.55,431.37
9/4/2013,440.30,2040633.00,434.60,441.24,431.98
9/5/2013,444.31,1291335.00,441.24,444.47,440.29
9/6/2013,444.32,1561560.00,445.76,446.44,441.37
9/9/2013,448.60,1222504.00,446.41,449.45,445.75
9/10/2013,448.91,1287636.00,449.59,450.59,446.55
9/11/2013,452.71,1610577.00,448.84,453.10,447.60
9/12/2013,451.13,1095465.00,453.32,453.57,449.58
9/13/2013,449.11,1325286.00,451.85,452.45,446.97
9/16/2013,448.45,1341111.00,452.71,453.12,446.99
9/17/2013,447.61,1259422.00,448.27,448.77,445.03
9/18/2013,456.31,1934434.00,447.74,456.64,446.08
9/19/2013,453.82,1596560.00,457.66,457.66,452.31
9/20/2013,456.20,4343880.00,453.82,456.72,452.42
9/23/2013,447.81,1777442.00,452.69,455.43,447.15
9/24/2013,447.98,1466985.00,447.81,449.63,445.23
9/25/2013,443.13,1649029.00,447.84,447.84,442.30
9/26/2013,443.60,1259907.00,443.67,445.92,442.00
9/27/2013,442.70,1258822.00,441.91,443.27,440.14
9/30/2013,442.46,1720996.00,439.01,444.95,438.62
10/1/2013,448.07,1682984.00,444.65,448.40,444.55
10/2/2013,448.56,1495334.00,445.91,449.25,443.43
10/3/2013,442.55,2117005.00,448.57,451.65,440.54
10/4/2013,440.66,1358005.00,442.00,443.27,439.48
10/7/2013,437.32,1293591.00,438.19,441.49,436.50
10/8/2013,431.23,1943503.00,437.11,437.45,430.20
10/9/2013,432.33,2651123.00,432.55,435.76,425.83
10/10/2013,438.59,2255255.00,436.36,438.89,434.53
10/11/2013,440.48,1407096.00,437.47,441.23,437.10
10/14/2013,442.56,1243573.00,437.79,442.63,437.15
10/15/2013,445.54,1591887.00,442.39,447.37,441.50
10/16/2013,453.63,2004867.00,447.49,453.79,446.55
10/17/2013,448.97,4163147.00,451.09,453.06,447.42
10/18/2013,510.91,11563920.00,493.31,512.95,492.01
10/21/2013,506.81,3628191.00,510.93,514.74,504.92
10/22/2013,508.68,2208639.00,507.67,511.71,503.02
10/23/2013,521.01,2663226.00,505.65,522.70,505.46
10/24/2013,518.05,2092054.00,521.24,525.64,517.67
10/25/2013,512.82,2030479.00,519.70,519.70,510.57
10/28/2013,512.72,1158320.00,512.82,516.98,511.70
10/29/2013,523.45,1604995.00,514.79,523.81,511.96
10/30/2013,520.51,1324081.00,524.05,524.09,518.28
10/31/2013,520.59,1616405.00,519.76,526.12,517.25
11/1/2013,518.80,1283286.00,521.20,523.33,517.82
11/4/2013,518.33,1138656.00,521.06,521.50,516.27
11/5/2013,516.02,1181373.00,515.42,521.13,513.94
11/6/2013,516.64,914174.00,518.08,518.78,512.91
11/7/2013,509.16,1679632.00,516.57,517.23,509.00
11/8/2013,513.24,1290800.00,509.56,514.49,509.44
11/11/2013,510.49,1112528.00,509.95,513.19,509.19
11/12/2013,511.10,1218087.00,509.03,514.02,507.67
11/13/2013,521.55,1578515.00,508.55,521.74,508.43
11/14/2013,522.94,1166731.00,522.28,525.22,520.48
11/15/2013,522.10,1276257.00,522.76,524.34,520.46
11/18/2013,521.08,1759713.00,523.20,529.77,519.92
11/19/2013,517.88,1128798.00,521.17,522.70,516.79
11/20/2013,516.41,963706.00,520.27,522.00,515.43
11/21/2013,522.36,1091805.00,518.78,524.50,518.28
11/22/2013,521.25,1254110.00,522.03,523.42,519.91
11/25/2013,528.35,1612058.00,523.92,532.01,522.84
11/26/2013,534.65,2286072.00,529.69,536.21,526.83
11/27/2013,537.02,1122631.00,536.48,539.49,535.45
11/29/2013,535.25,1192773.00,536.54,538.80,535.18
12/2/2013,532.67,1373206.00,537.23,538.66,530.79
12/3/2013,532.05,1676144.00,530.88,537.19,529.91
12/4/2013,534.53,1190968.00,531.09,537.46,530.40
12/5/2013,534.11,1133663.00,534.04,535.28,530.95
12/6/2013,540.44,1428774.00,540.40,540.51,535.49
12/9/2013,544.62,1482485.00,541.01,546.72,539.50
12/10/2013,547.91,1853894.00,543.61,551.77,543.36
12/11/2013,544.19,1706923.00,549.29,551.27,543.12
12/12/2013,540.48,1595700.00,545.34,547.04,540.00
12/13/2013,535.85,2162168.00,543.23,543.68,534.39
12/16/2013,542.01,1602009.00,537.47,542.87,536.47
12/17/2013,540.43,1535137.00,541.93,545.94,539.69
12/18/2013,547.96,2210252.00,541.44,548.06,534.97
12/19/2013,548.70,1665669.00,545.94,551.61,545.09
12/20/2013,555.97,3261557.00,549.75,556.25,549.60
12/23/2013,563.29,1721503.00,559.62,563.64,558.25
12/24/2013,561.64,734170.00,563.22,563.36,559.75
12/26/2013,564.48,1337795.00,562.74,565.26,560.05
12/27/2013,564.95,1569747.00,565.76,565.90,562.20
12/30/2013,560.44,1234872.00,565.93,566.01,560.22
12/31/2013,566.12,1357839.00,561.84,566.27,558.82
1/2/2014,562.29,1821401.00,563.47,564.63,559.83
1/3/2014,558.19,1664846.00,563.24,564.21,558.15
1/6/2014,564.41,1769288.00,562.23,565.19,558.91
1/7/2014,575.29,2552245.00,568.29,575.71,566.35
1/8/2014,576.49,2242287.00,578.90,579.56,572.48
1/9/2014,570.94,2084366.00,577.60,578.00,568.57
1/10/2014,570.90,2141847.00,575.40,575.40,566.90
1/13/2014,567.27,2418270.00,569.03,579.36,564.33
1/14/2014,580.61,2481611.00,574.83,581.42,569.85
1/15/2014,580.22,1949525.00,582.43,583.44,577.78
1/16/2014,584.06,1683876.00,580.46,584.92,579.91
1/17/2014,581.18,2700584.00,584.38,586.29,577.99
1/21/2014,587.84,1979510.00,586.44,587.99,581.57
1/22/2014,588.50,1571311.00,589.31,589.95,585.39
1/23/2014,586.02,1948578.00,585.97,587.23,583.12
1/24/2014,567.70,3918938.00,581.43,582.71,567.28
1/27/2014,556.28,4352585.00,568.84,569.05,546.70
1/28/2014,567.28,2208315.00,560.87,568.67,560.68
1/29/2014,559.16,2364192.00,565.32,566.65,555.37
1/30/2014,573.54,5076247.00,578.39,582.17,569.42
1/31/2014,596.56,5565423.00,591.70,599.37,581.49
2/3/2014,572.55,4568875.00,595.67,596.94,571.83
2/4/2014,574.94,2811838.00,574.85,583.44,574.35
2/5/2014,577.48,2394325.00,577.57,581.31,569.81
2/6/2014,585.95,1945997.00,581.49,586.05,579.68
2/7/2014,594.78,2685432.00,589.82,595.01,586.25
2/10/2014,592.50,1944075.00,591.93,597.28,590.52
2/11/2014,601.21,2050377.00,596.16,602.07,592.14
2/12/2014,599.45,1724490.00,600.62,601.12,596.77
2/13/2014,606.12,1835894.00,596.45,606.12,595.90
2/14/2014,607.59,2193285.00,603.96,608.39,602.54
2/18/2014,611.67,2108553.00,606.89,612.68,606.17
2/19/2014,607.36,2103507.00,608.85,610.83,604.91
2/20/2014,608.25,1700843.00,607.76,609.65,606.29
2/21/2014,608.09,1862284.00,610.12,611.16,607.61
2/24/2014,612.49,1674113.00,608.88,616.36,608.75
2/25/2014,616.28,1438445.00,614.23,618.55,611.44
2/26/2014,616.36,1982121.00,618.30,620.76,613.12
2/27/2014,615.88,1259795.00,615.46,618.42,614.77
2/28/2014,614.08,2313176.00,616.45,618.39,609.32
3/3/2014,607.53,2104616.00,609.58,610.13,602.20
3/4/2014,613.71,1467631.00,613.75,614.26,610.97
3/5/2014,615.40,1235272.00,613.78,617.83,611.94
3/6/2014,616.08,1267959.00,617.43,619.38,615.57
3/7/2014,613.65,1514730.00,619.71,619.81,611.95
3/10/2014,612.02,1214528.00,614.10,615.08,608.24
3/11/2014,606.17,1712649.00,613.13,613.41,604.48
3/12/2014,609.86,1964277.00,604.36,610.14,598.19
3/13/2014,600.65,2339645.00,610.19,611.48,598.48
3/14/2014,592.43,2293388.00,597.08,601.56,592.30
3/17/2014,602.18,2160095.00,595.69,604.69,595.12
3/18/2014,611.86,1817951.00,603.48,612.00,602.67
3/19/2014,605.80,1610833.00,612.13,612.23,603.35
3/20/2014,604.74,1684681.00,606.15,611.03,603.83
3/21/2014,597.61,3207477.00,609.36,611.04,597.31
3/24/2014,584.92,3036542.00,598.19,598.55,578.87
3/25/2014,585.32,2410125.00,589.00,590.94,579.40
3/26/2014,571.81,2554077.00,586.98,591.81,571.57
3/27/2014,562.87,3818631.00,571.24,571.79,556.72
3/28/2014,565.84,2253524.00,565.26,572.43,564.64
3/31/2014,562.99,1939988.00,571.02,573.34,562.15
4/1/2014,573.28,2180443.00,565.90,574.60,564.75
4/2/2014,573.39,2085760.00,576.83,578.29,567.78
4/3/2014,571.50,4012659.00,573.39,588.30,566.01
4/4/2014,545.25,5363131.00,578.55,579.72,544.49
4/7/2014,540.63,3946815.00,544.79,549.85,530.53
4/8/2014,557.51,3482243.00,545.05,559.88,544.70
4/9/2014,567.04,3031068.00,565.84,567.80,555.38
4/10/2014,546.69,3294330.00,568.00,568.21,545.50
4/11/2014,537.76,3174702.00,537.94,547.59,533.40
4/14/2014,545.20,2538776.00,543.66,553.02,540.52
4/15/2014,548.70,3992074.00,551.00,552.89,530.64
4/16/2014,563.90,4535718.00,557.70,564.00,553.10
